"N° Id","Tipo Imbarcazioni Ship Type","Nomi Imbarcazioni Ship Name","Naz. Imbarcazioni Ship Nationality","Porto Partenza Departure Place","Partenza Departure","Porto Arrivo Arrival Place","Arrivo Arrival","Porto Scalo Portcall Place","Merce Articles","Fonte Sources","Persona People Info"
00003,nave,,,,,Pisa,20/06/1386,,,"Archivio di Stato di Prato (Datini)","Adamo di Messina (padrone)"
00006,galeotta,,Liguria-Italia,Roma,14/02/1400,Pisa,22/02/1400,,,"Archivio di Stato di Prato (Datini)","Adornino Adorno (padrone)"
00008,galea,,,Pisa,,Genova,23/08/1394,,,"Archivio di Stato di Prato (Datini)","Antoniotto Adorno (passeggero)"
00013,,,,Genova,04/02/1409,Bruges,,"Barcellona, Valenza",,"Archivio di Stato di Prato (Datini)","Federigo Agardo (padrone)"
00014,nave,,,,,Bruges,04/07/1409,,,"Archivio di Stato di Prato (Datini)","Federigo Agardo (padrone), Ambrogio di Bellotto di Savona (padrone)"
00015,,,,Valenza,,Bruges,28/06/1409,Southampton,,"Archivio di Stato di Prato (Datini)","Federigo Agardo (padrone)"
00017,,,,"La Rochelle",,Bruges,25/02/1410,,"vini, ferro","Archivio di Stato di Prato (Datini)","Federigo Agardo (padrone)"
00018,nave,,,"La Rochelle",,Bruges,10/11/1410,,vini,"Archivio di Stato di Prato (Datini)","Federigo Agardo (padrone)"
00021,saettia,,,Rodi,,Pisa,27/11/1390,,,"Archivio di Stato di Prato (Datini)","Giovanni Grassolini di Pisa (padrone), Agliata Piero (padrone)"
00025,nave,Grassolina,,Pisa,01/10/1392,Palermo,,,,"Archivio di Stato di Prato (Datini)",
00027,,Agliata,"Isole Baleari-Spagna",Bruges,,Valenza,02/09/1407,,,"Archivio di Stato di Prato (Datini)",
00030,,,,"Alessandria d'Egitto",,Genova,30/03/1406,,,"Archivio di Stato di Prato (Datini)","Alento Agogna (padrone)"
00031,liuto,,,Ibiza,29/04/1401,Valenza,,,,"Archivio di Stato di Prato (Datini)","Bernardo Agosti (padrone)"
00032,barca,,,"Dénia, Jávea",,Valenza,08/08/1406,,mandorle,"Archivio di Stato di Prato (Datini)","Bernardo Agosti (padrone)"
00035,barca,,,Ibiza,06/09/1401,Valenza,,,,"Archivio di Stato di Prato (Datini)","Masiario Agosto (padrone)"
00038,,,,Barcellona,12/10/1407,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Francesco Agretti di Colliveri (padrone)"
00039,,,,Pisa,02/02/1410,Maiorca,,"Collioure, Barcellona, Valenza",,"Archivio di Stato di Prato (Datini)","Francesco Agretti di Colliveri (padrone)"
00045,,,,Maiorca,06/08/1410,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Francesco Agretti di Colliveri (padrone)"
00054,panfilo,,,Maiorca,,Valenza,01/10/1404,,,"Archivio di Stato di Prato (Datini)","Bernat Aguilar (padrone)"
00056,galea,,,,,Maiorca,20/10/1396,,,"Archivio di Stato di Prato (Datini)","Arnao Aimari (padrone)"
00058,barca,,,Livorno,10/07/1395,,,,grano,"Archivio di Stato di Prato (Datini)","Andreotta Galletti (padrone)"
00061,galea,,,Roma,,Arles,20/09/1396,,,"Archivio di Stato di Prato (Datini)","Arnao Aimari (padrone)"
00063,galea,,,Arles,,Maiorca,18/10/1396,Barcellona,,"Archivio di Stato di Prato (Datini)","Arnao Aimari (padrone)"
00065,galea,Aimara,,,,Valenza,17/10/1396,,,"Archivio di Stato di Prato (Datini)",
00066,galeotta,,,Barcellona,28/05/1397,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Arnao Aimari (padrone)"
00067,galea,,,Maiorca,07/11/1398,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Arnao Aimari (padrone)"
00070,,,,Genova,23/02/1407,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Aito da Castagnolo (padrone)"
00071,galeotta,,,Pisa,02/08/1399,Roma,,,,"Archivio di Stato di Prato (Datini)","Francesco di Riccomo Aiutamicristo (padrone)"
00072,galeotta,,,Pisa,31/03/1400,Roma,,,,"Archivio di Stato di Prato (Datini)","Sagrimoro (padrone)"
00074,,,,Maiorca,29/03/1405,Maiorca,28/04/1405,Cherchel,frumento,"Archivio di Stato di Prato (Datini)","Pietro Steve di Colliveri (padrone)"
00076,navetta,,,Maiorca,25/10/1404,Pisa,,,,"Archivio di Stato di Prato (Datini)","Giovanni Alagone (padrone)"
00077,cocchetta,,,Barcellona,,Alcudia,20/01/1405,Maiorca,"lana degli Ardinghelli","Archivio di Stato di Prato (Datini)","Giovanni Alagone (padrone)"
00080,galea,,,,,Marsiglia,04/06/1395,,,"Archivio di Stato di Prato (Datini)","Pericone Alamanni corsaro catalano (padrone), Giovanni Tomasi (padrone), n.s. (padrone)"
00082,,,,Barcellona,22/11/1395,Levante,,,,"Archivio di Stato di Prato (Datini)","Pericone Alamanni corsaro catalano (padrone)"
00083,galea,,,,,Maiorca,25/03/1397,,,"Archivio di Stato di Prato (Datini)","Pericone Alamanni corsaro catalano (padrone)"
00084,galea,,,Napoli,,Barcellona,28/07/1395,"Sardegna, Provenza",,"Archivio di Stato di Prato (Datini)","Giovanni Tomasi (padrone), Pericone Alamanni corsaro catalano (padrone)"
00086,cocca,,,Algeri,,Maiorca,02/04/1401,,"cera, cuoia, lino, altre cose","Archivio di Stato di Prato (Datini)","Pericone Alamanni corsaro catalano (padrone)"
00087,,,,Algeri,,Maiorca,31/03/1402,,"cera, lino","Archivio di Stato di Prato (Datini)","Pericone Alamanni corsaro catalano (padrone)"
00089,barca,,,Barcellona,22/06/1408,Valenza,,Peñiscola,,"Archivio di Stato di Prato (Datini)","Niccolò Alamaro (padrone)"
00090,liuto,,,Maiorca,11/04/1400,Barcellona,15/04/1400,,,"Archivio di Stato di Prato (Datini)","Pericon Alamaro (padrone)"
00091,barca,,,Barcellona,28/07/1404,Valenza,,,,"Archivio di Stato di Prato (Datini)","P. Alardo (padrone)"
00092,,Alba,,Maiorca,25/07/1397,Barcellona,01/08/1397,,,"Archivio di Stato di Prato (Datini)",
00093,barca,,,Valenza,20/05/1401,Ibiza,,,,"Archivio di Stato di Prato (Datini)","Michele Albareda (noleggiatore)"
00118,,,,Maiorca,05/04/1396,Pisa,,,,"Archivio di Stato di Prato (Datini)","Piglio di Granc. degli Albizi (padrone)"
00131,nave,,,"Aigues Mortes",11/08/1402,"Alessandria d'Egitto",,,,"Archivio di Stato di Prato (Datini)","Niccolò Alderotti (padrone)"
00132,nave,,,Valenza,05/10/1402,Genova,,,,"Archivio di Stato di Prato (Datini)","Niccolò Alderotti (noleggiatore)"
00141,,,,Valenza,11/12/1408,"Isole Medas",20/12/1408,,,"Archivio di Stato di Prato (Datini)","Aldobrandini (padrone)"
00142,,,,"Porto Venere",21/01/1409,Pisa,,"Pisa, Aigues Mortes, Savona",,"Archivio di Stato di Prato (Datini)","Michele Aldobrandini (padrone)"
00147,,,,Valenza,31/07/1410,Alicante,,"Valenza, Dénia",,"Archivio di Stato di Prato (Datini)","Michele Aldobrandini (padrone)"
00153,galea,,,Barcellona,09/10/1396,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Niccolari d'Abeglia da Beghes (padrone)"
00155,galea,,,Maiorca,25/05/1400,Poraza,,,,"Archivio di Stato di Prato (Datini)","Messer Ramon d'Abeglia (padrone)"
