status,name,kind,country_iso,match_name,match_id,score,lng,lat
non identificabile,Ada,porto,,,,,,
non identificabile,Bellincato,porto,,,,,,
non identificabile,Bellis,porto,,,,,,
non identificabile,Bocche di Bonifacio,porto,,,,,,
non identificabile,Castellammare,porto,,,,,,
non identificabile,Costa tra Barcellona e Valenza,porto,,,,,,
non identificabile,Fonti,porto,,,,,,
non identificabile,Indi,porto,,,,,,
non identificabile,La Barvicha,porto,,,,,,
non identificabile,La Ligna,porto,,,,,,
non identificabile,Mari dell'Arcipelago,porto,,,,,,
non identificabile,Mari di Setalia,porto,,,,,,
non identificabile,Montjuich,porto,,,,,,
non identificabile,Ontazo,porto,,,,,,
non identificabile,Ortamude,porto,,,,,,
non identificabile,Poraza,porto,,,,,,
non identificabile,Porto del Sole,porto,,,,,,
non identificabile,Segna,porto,,,,,,
non identificabile,Setalia,porto,,,,,,
non identificabile,Stretto,porto,,,,,,
non identificabile,Terranova,porto,,,,,,
non identificabile,Terranuova,porto,,,,,,
non identificabile,Vai,porto,,,,,,
non identificabile,Vay,porto,,,,,,
skip,Costa di Catalogna,porto,ES,,,,,
skip,Costiera di Barcellona,porto,ES,,,,,
skip,Costiera di Catalogna,porto,ES,,,,,
skip,Golfo del Leone,porto,FR,,,,,
skip,Levante,regione,,,,,,
skip,Mare del Nord,porto,,,,,,
skip,Mari di Bretagna,porto,FR,,,,,
skip,Mari di Cartagena,porto,ES,,,,,
skip,Mari di Gaeta,porto,IT,,,,,
skip,Mari di Galizia,porto,ES,,,,,
skip,Mari di Malta,porto,,,,,,
skip,Mari di Palamós,porto,ES,,,,,
skip,Mari di Portogallo,porto,,,,,,
skip,Mari di Provenza,porto,FR,,,,,
skip,Mari di Romania,porto,,,,,,
skip,Mari di Sapienza,porto,GR,,,,,
skip,Mari di Sicilia,porto,IT,,,,,
skip,Mari di Spagna,porto,,,,,,
skip,Mari di Tolone,porto,FR,,,,,
skip,Mari di Tripoli,porto,LY,,,,,
skip,Mediterraneo,porto,,,,,,
skip,Mezzogiorno,porto,IT,,,,,
skip,Ponente,porto,,,,,,
skip,n.s.,porto,,,,,,
best_guess,Acri,porto,IL,Acre,place:8364219,100,35.08,32.92000000000003
best_guess,Aigues Mortes,porto,FR,Aigues-Mortes,place:5894593,100,4.195468,43.56952099999998
best_guess,Al largo della Gorgona,porto,IT,Gargallo,place:wd:Q22450,100,8.409192,45.727571
best_guess,Alcudia,porto,,l'Alcúdia,place:osm:n1243398548,100,-0.407615,38.86044
best_guess,Alemagna,regione,,Lemagna,place:osm:n6271870283,100,13.377464,46.271749
best_guess,Alessandria d'Egitto,porto,EG,Capture of Alexandria,place:wd:Q3403790,100,29.919167,31.198056
best_guess,Algeri,porto,DZ,Algiers,place:227685,100,3.08746,36.73225
best_guess,Almeria,porto,ES,Almería Province,place:wd:Q81802,100,-2.333333,37.166667
best_guess,Anversa,porto,BE,Anvers,place:8359376,100,4.399180121976945,51.22130260388964
best_guess,Arnhem (nei pressi di Anversa),porto,BE,Gemeenschapscentrum Everna,place:wd:Q33100477,100,4.404657,50.880083
best_guess,Avenza,porto,IT,Vezzana,place:wd:Q1092027,100,11.867222,46.25
best_guess,Avignone,porto,FR,Avignonet,place:4752153,100,5.687251,44.95524599999999
best_guess,Barcellona,porto,ES,Barcelona,place:4615074,100,2.0,41.66600000000002
best_guess,Barcellona;n.s.,porto,ES,Barcelona Province,place:wd:Q81949,100,2.083333,41.45
best_guess,Belle Île,porto,FR,Belle-Île-en-Mer,place:5159833,100,-3.187003,47.33306000000002
best_guess,Biscaglia,porto,ES,Vizcaya Bridge,place:wd:Q331996,100,-3.016944,43.323056
best_guess,Bocca di Magra,porto,IT,Grotticella presso la Buca della miniera bassa,place:osm:n11307578593,100,10.293197,44.051781
best_guess,Bretagna,regione,FR,Bretagne,place:6078751,100,2.059042,46.67962100000002
best_guess,Brégançon,porto,FR,Briançon,place:6128197,100,0.314022,47.14810100000001
best_guess,Cabo de São Vicente,porto,PT,Cabo de São Vicente Lighthouse,place:wd:Q9300521,100,-8.996139,37.023056
best_guess,Cabrera,porto,ES,La Cabrera,place:osm:n311117406,100,-3.612547,40.865174
best_guess,Cadice,porto,ES,Cádiz,place:wd:Q15682,100,-6.2975,36.535
best_guess,Candia,porto,GR,Heraklion,place:wd:Q160544,100,25.134444,35.340278
best_guess,Cap de Salou,porto,ES,Cabana de l'Esclafidor,place:wd:Q109555300,100,0.867771,41.482401
best_guess,Capo Bianco,porto,ES,Peñacañada Club de Campo,place:gn:10942034,100,-0.49298,39.53729
best_guess,Capo Noli,porto,IT,Parco metropolitano delle Colline di Napoli,place:wd:Q61766915,100,14.1992,40.874
best_guess,Capo Otranto,porto,IT,Quattro Vanelle,place:wd:Q18472896,100,12.34641,37.92087
best_guess,Capo di Campana,porto,IT,Castel Gabbiano,place:wd:Q42821,100,9.7,45.466667
best_guess,Capo di Noli,porto,IT,Largo Paolo D’Ancona,place:wd:Q106434464,100,9.17568,45.46605
best_guess,Capo di Pietra,porto,ES,Puig de Castellbarri,place:osm:n1627153018,100,3.046809,41.855178
best_guess,Castellana,porto,ES,La Castellana,place:osm:n1241512128,100,-5.894651,40.383883
best_guess,Castiglia,porto,ES,Castellgalí,place:wd:Q16686,100,1.837804,41.673277
best_guess,Catalogna,porto,ES,Catalonia,place:wd:Q5705,100,1.566667,41.85
best_guess,Chio,porto,GR,Chios,place:wd:Q160483,100,26.016667,38.4
best_guess,Cipro,porto,,Скрипово,place:osm:n1215320578,100,29.103014,57.686105
best_guess,Citèra,porto,GR,Kythira,place:wd:Q207239,100,22.9975,36.2575
best_guess,Ciutadella,porto,ES,la Ciutadella,place:osm:n1241597732,100,3.147152,41.894786
best_guess,Dragonera pressi,porto,ES,Rec d’Andorra,place:gn:3041564,100,1.5254,42.5178
best_guess,Famagosta,porto,TR,Famagusta,place:8364276,100,33.94,35.13000000000001
best_guess,Feodosia,porto,RU,Fedoseyevskoye,place:gn:563017,100,47.6227,58.1473
best_guess,Fiandra,regione,BE,Flanders,place:wd:Q234,100,4.5,51.0
best_guess,Foce d'Arno,porto,IT,Q126917007,place:wd:Q126917007,100,10.980083,45.435333
best_guess,Fort de Brégançon,porto,FR,Fort Brégançon,place:gn:3030413,100,6.32215,43.09261
best_guess,Galizia,regione,ES,Galicia,place:tgn:7002786,100,-8.0,42.75
best_guess,Galles,porto,GB,Wales,place:wd:Q25,100,-3.633333,52.35
best_guess,Giaffa,porto,IL,יפו,place:osm:n278471086,100,34.750991,32.044339
best_guess,Gibilterra,porto,GB,Gibraltar Point,place:tgn:1011919,100,0.333333,53.1
best_guess,Golfo di Venezia,porto,IT,Castello della Giovannina,place:wd:Q4012698,100,11.2634,44.7351
best_guess,Honaïne,porto,DZ,Honnaine,place:gn:12952882,100,-1.61512,35.16966
best_guess,Isola d'Albenga,porto,IT,Gallinara,place:wd:Q1492476,100,8.226333,44.0255
best_guess,Isole Medas,porto,ES,Sida Mohand Lillah,place:gn:11092561,100,-3.48067,35.06889
best_guess,La Canea,porto,GR,Chania,place:wd:Q182299,100,24.016667,35.516667
best_guess,La Coruña,porto,ES,A Coruña Province,place:wd:Q82119,100,-8.4,43.37
